Epoch,Loss
1,1.112474213
,
2,0.584350114
,
3,0.524899483
,
4,0.400575867
,
5,0.361454004
,
6,0.361549034
,
7,0.341626622
,
8,0.328450551
,
9,0.351952274
,
10,0.328640951
,
11,0.299351012
,
12,0.290016175
,
13,0.294264727
,
14,0.290281089
,
15,0.291115306
,
16,0.281034536
,
17,0.267371815
,
18,0.268413916
,
19,0.254530036
,
20,0.249507424
,
21,0.264931088
,
22,0.246847015
,
23,0.246058144
,
24,0.243091925
,
25,0.229114163
,
26,0.218206629
,
27,0.221957087
,
28,0.224839303
,
29,0.218555373
,
30,0.205488575
,
31,0.206555758
,
32,0.19819101
,
33,0.20190615
,
34,0.195936007
,
35,0.189282979
,
36,0.194062064
,
37,0.202225885
,
38,0.185185677
,
39,0.17798517
,
40,0.180817003
,
41,0.168353903
,
42,0.167678947
,
43,0.164453192
,
44,0.186237307
,
45,0.167703213
,
46,0.157502784
,
47,0.156574448
,
48,0.151930154
,
49,0.155856865
,
50,0.154756406
,
51,0.148348612
,
52,0.154000193
,
53,0.144244628
,
54,0.141027015
,
55,0.138673604
,
56,0.137059023
,
57,0.141393592
,
58,0.141988624
,
59,0.134635508
,
60,0.135714538
,
61,0.139660019
,
62,0.130207113
,
63,0.13101972
,
64,0.127310587
,
65,0.124742224
,
66,0.121956983
,
67,0.122928125
,
68,0.126012765
,
69,0.122662812
,
70,0.120558282
,
71,0.115932128
,
72,0.114989103
,
73,0.115103576
,
74,0.116018882
,
75,0.113857681
,
76,0.111755248
,
77,0.112206383
,
78,0.110952737
,
79,0.113300913
,
80,0.110202128
,
81,0.107616237
,
82,0.105305073
,
83,0.103601985
,
84,0.102894112
,
85,0.102871575
,
86,0.10267574
,
87,0.103374726
,
88,0.10078037
,
89,0.099394756
,
90,0.097823828
,
91,0.097639264
,
92,0.096302137
,
93,0.095499514
,
94,0.09417205
,
95,0.093135976
,
96,0.093194877
,
97,0.093753996
,
98,0.092847038
,
99,0.09129755
,
100,0.089870359
,
101,0.089103194
,
102,0.088619308
,
103,0.088621445
,
104,0.087066392
,
105,0.085755271
,
106,0.086238716
,
107,0.0857135
,
108,0.084503107
,
109,0.084201969
,
110,0.082239642
,
111,0.081834297
,
112,0.080941712
,
113,0.079774196
,
114,0.079768279
,
115,0.080230557
,
116,0.078595807
,
117,0.077695939
,
118,0.077019925
,
119,0.076499609
,
120,0.076482849
,
121,0.075912433
,
122,0.075703357
,
123,0.074607588
,
124,0.073520271
,
125,0.073317034
,
126,0.072647465
,
127,0.071958127
,
128,0.071074019
,
129,0.070535078
,
130,0.070283873
,
131,0.069698546
,
132,0.06922723
,
133,0.068893783
,
134,0.068468091
,
135,0.067640474
,
136,0.067117645
,
137,0.066698758
,
138,0.066112491
,
139,0.065653772
,
140,0.065442985
,
141,0.064821844
,
142,0.064225475
,
143,0.063789474
,
144,0.063694769
,
145,0.063303748
,
146,0.062798569
,
147,0.062038182
,
148,0.061431691
,
149,0.060939984
,
150,0.060353037
,
151,0.059855385
,
152,0.06011459
,
153,0.059741176
,
154,0.059625347
,
155,0.059182073
,
156,0.058713188
,
157,0.058373548
,
158,0.057905834
,
159,0.057830136
,
160,0.057317359
,
161,0.056980971
,
162,0.056600677
,
163,0.056418123
,
164,0.055938287
,
165,0.055953502
,
166,0.055217069
,
167,0.054877549
,
168,0.054536035
,
169,0.054213963
,
170,0.054301146
,
171,0.053963769
,
172,0.053426347
,
173,0.053033434
,
174,0.052841801
,
175,0.052509199
,
176,0.052279275
,
177,0.051967889
,
178,0.051885887
,
179,0.051441146
,
180,0.051318927
,
181,0.051130896
,
182,0.051000937
,
183,0.050707286
,
184,0.05048921
,
185,0.050203154
,
186,0.049908671
,
187,0.04959869
,
188,0.049392921
,
189,0.049639074
,
190,0.049325254
,
191,0.049050975
,
192,0.048932338
,
193,0.048424232
,
194,0.048149576
,
195,0.048029003
,
196,0.047812811
,
197,0.047428612
,
198,0.047480802
,
199,0.047232762
,
200,0.047211575
,
201,0.047080025
,
202,0.046630029
,
203,0.046306403
,
204,0.046394576
,
205,0.046296384
,
206,0.046094195
,
207,0.045903198
,
208,0.045726755
,
209,0.045604785
,
210,0.045289779
,
211,0.045224788
,
212,0.04527722
,
213,0.044970761
,
214,0.044936765
,
215,0.044636094
,
216,0.044485222
,
217,0.044295229
,
218,0.044395712
,
219,0.04417616
,
220,0.044057408
,
221,0.043884872
,
222,0.043595084
,
223,0.04393017
,
224,0.043583752
,
225,0.043493626
,
226,0.043182409
,
227,0.043033385
,
228,0.043174105
,
229,0.042961639
,
230,0.042941612
,
231,0.042816608
,
232,0.042677929
,
233,0.042383877
,
234,0.042408333
,
235,0.042230966
,
236,0.042143944
,
237,0.042213048
,
238,0.042121322
,
239,0.04187721
,
240,0.041795263
,
241,0.041887382
,
242,0.041488662
,
243,0.041545937
,
244,0.041515874
,
245,0.041568735
,
246,0.041116542
,
247,0.041229435
,
248,0.041118631
,
249,0.041087201
,
250,0.041020929
,
251,0.040869365
,
252,0.040840387
,
253,0.040710499
,
254,0.040663486
,
255,0.040730005
,
256,0.040569119
,
257,0.040444795
,
258,0.040455896
,
259,0.040249026
,
260,0.040183584
,
261,0.040088993
,
262,0.040111639
,
263,0.040120021
,
264,0.039887794
,
265,0.039956642
,
266,0.039960044
,
267,0.039894899
,
268,0.039726806
,
269,0.039738449
,
270,0.039556635
,
271,0.039558072
,
272,0.039647618
,
273,0.039591145
,
274,0.03948433
,
275,0.039526554
,
276,0.039483103
,
277,0.039284526
